Mineral Composition,Ag,Al,As,Au,Ba,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,Pb,S,Te,Ti,U,Zn,Zr,Assay Weight,WLS Starting Point,group,min,max
Other(Quartz),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,,15
Feld_Alb_Ca-Na,0,10.41,0,0,0,0.38,0,0.05,0.11,0.01,0,0,7.8,0,0,0,0,0,0,0,0,5,10,0,,14.9
Feld_Alb_Na,0,10.4,0,0,0,0,0,0.04,0.24,0.02,0,0,8.21,0,0,0,0,0,0,0,0,5,10,0,,14.9
FeldsparK,0,9.817163594,0,0,0,0.12149786,0,0.0979097,13.33707643,0,0,0,0.126114876,0,0,0,0,0,0,0,0,7,10,0,,14.2
FeldsKBa,0,9.85,0,0,0.25,0,0,0.08,13.5,0,0.03,0,0.31,0,0,0,0,0.03,0,0,0,7,2,0,,14.2
Feld_Plag,0,15.3732,0,0,0,7.8908,0,0.199,0.1423,-0.0012,-0.0065,0,3.8507,0,0,0,0,0.002,0,0,0,3,10,0,,14.9
Carb_Calc,0,0,0,0,0,40.04426534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2,5,11.7,12.5
Carb_Ank,0,0,0,0,0,20.0185592,0,12.55342226,0,6.071985112,0,0,0,0,0,0,0,0,0,0,0,5.7,2,5,8.7,9.5
Carb_Dol,0,0,0,0,0,21.73,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,12,12.8
Rhodochrosite,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,0,0,0,0,0,3,1,5,7.3,8.1
Siderite,0,0,0,0,0,53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,6.1,6.9
Anhydrite,0,0,0,0,0,29.44,0,0,0,0,0,0,0,0,0,23.55,0,0,0,0,0,1.3,1,5,10.7,10.9
ChloriteFe,0,9.6754,0,0,0,0.1066,0,20.3305,0.0161,9.3554,0.0787,0,0.0455,0,0,0,0,0.0163,0,0,0,10,5,1,9.4,10.2
ChloriteMg,0,10.0939,0,0,0,0.0377,0,10.5241,0.0335,14.3654,0.0387,0,0.0293,0,0,0,0,0.0267,0,0,0,10,5,1,15.3,16.9
Muscovite,0,19.5,0,0,0,0,0,0.08,8.37,0.05,0.093,0,0.47,0,0,0,0,0,0,0,0,7,2,1,14.3,15.9
Musc_Phengite,0,16.46,0,0,0,0,0,3.19,9.14,0.81,0,0,0.08,0,0,0,0,0.1,0,0,0,4,2,1,14.3,15.9
BiotMg,0,7.5391,0,0,0,0.0156,0,7.9141,7.8631,11.8337,0.052,0,0.0718,0,0,0,0,1.0092,0,0,0,9,2,1,14.3,15.3
BiotFe,0,7.3702,0,0,0,0.1426,0,13.0428,7.3473,8.2094,0.0686,0,0.0769,0,0,0,0,0.9201,0,0,0,9,2,1,9.6,10.4
Amph_tscher,0,7.33,0,0,0,7.7,0,13.72,0.62,5.76,0.33,0,1.43,0,0,0,0,0.74,0,0,0,5,1,0,,15.2
Amph_Act,0,1.5633,0,0,0,8.7168,0,12.7119,0.1038,8.065,0.0905,0,0.204,0,0,0,0,0.0574,0,0,0,8,2,0,,12.75
Amph_HorMg,0,3.42,0,0,0,8.63,0,11.26,0.43,8.03,0.48,0,0.78,0,0,0,0,0.53,0,0,0,7.5,2,0,,13
Amph_Trem,0,0.9295,0,0,0,9.3243,0,6.3783,0.0668,11.4574,0.1231,0,0.2079,0,0,0,0,0.0767,0,0,0,6,2,0,,15
Epid_LC,0,12.5294,0,0,0,16.5257,0,9.494,0,0.0194,0.1798,0,0,0,0,0,0,0,0,0,0,4,2,2,13,14.4
Epid_Clzt,0,17.8137858,0,0,0,17.63863053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,14.7,15.5
Magnetite,0,0,0,0,0,0,0,72.34827478,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,,4.8
Apatite,0,0,0,0,0,39.05798859,0,0,0,0,0,0,0,18.17529238,0,0,0,0,0,0,0,10,1,0,,13.7
Chalcopyrite,0,0,0,0,0,0,34.5,30.49887156,0,0,0,0,0,0,0,35,0,0,0,0,0,8,1,0,,1.3
Pyrite,0,0,0,0,0,0,0,46.59103012,0,0,0,0,0,0,0,53.4,0,0,0,0,0,5,1,0,,1.5
Spalerite,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,33.06,0,0,0,64.07,0,5,1,0,,2.3
galena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6,13.4,0,0,0,0,0,5,1,0,,0.6
Uraninite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.15,0,0,10,0.1,0,,2
Arsenopyrite,0,0,46,0,0,0,0,34.3,0,0,0,0,0,0,0,19.7,0,0,0,0,0,10,1,0,,0.8
